Lat,Lon
-40.841,144.289
-40.887,144.257
-40.934,144.227
-40.974,144.203
-41.0,144.189
-41.007,144.184
-41.004,144.183
-41.001,144.182
-40.999,144.18
-40.996,144.167
-40.998,144.126
-41.012,144.055
-41.036,143.965
-41.063,143.874
-41.092,143.783
-41.122,143.711
-41.148,143.684
-41.165,143.701
-41.177,143.739
-41.188,143.776
-41.199,143.814
-41.213,143.842
-41.232,143.859
-41.256,143.866
-41.283,143.87
-41.31,143.874
-41.336,143.878
-41.355,143.892
-41.352,143.92
-41.326,143.958
-41.288,144.0
-41.249,144.044
-41.211,144.088
-41.178,144.127
-41.155,144.156
-41.147,144.169
-41.148,144.175
-41.148,144.181
-41.149,144.187
-41.146,144.185
-41.136,144.169
-41.12,144.145
-41.1,144.119
-41.08,144.093
-41.06,144.068
-41.05,144.04
-41.062,144.012
-41.099,143.989
-41.151,143.972
-41.205,143.957
-41.262,143.944
-41.315,143.953
-41.357,143.997
-41.381,144.077
-41.396,144.174
-41.411,144.27
-41.428,144.365
-41.443,144.446
-41.457,144.499
-41.464,144.52
-41.467,144.523
-41.47,144.525
-41.473,144.528
-41.468,144.538
-41.449,144.562
-41.419,144.603
-41.385,144.651
-41.349,144.699
-41.312,144.747
-41.278,144.785
-41.255,144.799
-41.245,144.786
-41.241,144.76
-41.237,144.735
-41.233,144.711
-41.222,144.696
-41.197,144.701
-41.16,144.727
-41.118,144.767
-41.077,144.806
-41.036,144.845
-41.003,144.881
-40.986,144.91
-40.983,144.929
-40.987,144.943
-40.99,144.958
-40.995,144.972
-40.984,144.993
-40.946,145.029
-40.884,145.077
-40.812,145.131
-40.746,145.189
-40.683,145.247
-40.633,145.302
-40.602,145.35
-40.587,145.397
-40.577,145.446
-40.567,145.495
-40.557,145.544
-40.544,145.6
-40.528,145.663
-40.513,145.732
-40.502,145.803
-40.492,145.876
-40.484,145.948
-40.482,146.018
-40.494,146.075
-40.517,146.116
-40.547,146.148
-40.577,146.179
-40.607,146.209
-40.634,146.224
-40.647,146.221
-40.643,146.209
-40.63,146.196
-40.618,146.183
-40.605,146.17
-40.593,146.15
-40.585,146.114
-40.584,146.062
-40.589,146.0
-40.591,145.937
-40.593,145.875
-40.589,145.83
-40.569,145.811
-40.531,145.811
-40.479,145.815
-40.424,145.816
-40.366,145.815
-40.309,145.792
-40.26,145.741
-40.225,145.668
-40.201,145.587
-40.176,145.5
-40.151,145.407
-40.133,145.304
-40.13,145.175
-40.144,145.023
-40.174,144.857
-40.211,144.698
-40.254,144.546
-40.299,144.416
-40.338,144.316
-40.364,144.242
-40.377,144.179
-40.387,144.116
-40.394,144.053
-40.396,144.009
-40.392,144.005
-40.386,144.042
-40.38,144.099
-40.375,144.154
-40.369,144.209
-40.374,144.262
-40.399,144.311
-40.446,144.35
-40.506,144.381
-40.569,144.408
-40.633,144.433
-40.692,144.458
-40.737,144.49
-40.767,144.53
-40.787,144.575
-40.806,144.619
-40.823,144.661
-40.835,144.696
-40.842,144.72
-40.842,144.732
-40.839,144.741
-40.835,144.748
-40.832,144.755
-40.819,144.77
-40.792,144.801
-40.755,144.844
-40.718,144.888
-40.684,144.93
-40.654,144.969
-40.635,145.012
-40.634,145.07
-40.646,145.153
-40.665,145.258
-40.685,145.367
-40.706,145.481
-40.732,145.612
-40.762,145.758
-40.796,145.894
-40.833,146.005
-40.872,146.099
-40.913,146.184
-40.949,146.235
-40.971,146.248
-40.973,146.248
-40.959,146.246
-40.947,146.249
-40.936,146.253
-40.931,146.251
-40.942,146.241
-40.973,146.237
-41.019,146.248
-41.064,146.278
-41.107,146.305
-41.141,146.343
-41.159,146.381
-41.162,146.405
-41.158,146.418
-41.154,146.431
-41.149,146.443
-41.129,146.446
-41.081,146.433
-40.997,146.397
-40.892,146.346
-40.791,146.298
-40.691,146.248
-40.614,146.177
-40.585,146.075
-40.598,145.945
-40.63,145.797
-40.659,145.646
-40.684,145.49
-40.703,145.345
-40.717,145.226
-40.729,145.134
-40.739,145.056
-40.751,144.981
-40.764,144.91
-40.785,144.845
-40.818,144.79
-40.862,144.746
-40.907,144.709
-40.952,144.673
-40.996,144.638
-41.029,144.609
-41.046,144.59
-41.05,144.58
-41.049,144.574
-41.048,144.568
-41.047,144.563
-41.052,144.548
-41.067,144.516
-41.092,144.469
-41.122,144.415
-41.153,144.362
-41.184,144.308
-41.205,144.279
-41.204,144.297
-41.181,144.358
-41.148,144.437
-41.116,144.514
-41.084,144.589
-41.038,144.651
-40.964,144.692
-40.863,144.718
-40.748,144.743
-40.632,144.773
-40.514,144.809
-40.408,144.853
-40.33,144.902
-40.287,144.95
-40.266,144.997
-40.248,145.044
-40.233,145.092
-40.229,145.121
-40.241,145.123
-40.265,145.1
-40.295,145.066
-40.325,145.029
-40.356,144.99
-40.39,144.939
-40.432,144.866
-40.482,144.774
-40.535,144.679
-40.588,144.59
-40.64,144.508
-40.691,144.429
-40.742,144.347
-40.796,144.255
-40.858,144.156
-40.926,144.056
-41.001,143.955
-41.085,143.873
-41.17,143.829
-41.245,143.82
-41.308,143.827
-41.372,143.834
-41.436,143.84
-41.488,143.847
-41.522,143.861
-41.54,143.879
-41.553,143.9
-41.566,143.92
-41.579,143.94
-41.587,143.968
-41.58,144.009
-41.556,144.065
-41.523,144.127
-41.492,144.187
-41.463,144.246
-41.435,144.301
-41.414,144.346
-41.403,144.381
